female,yeduc,lincome
0,12,5.521461
0,12,5.857933
0,12,5.857933
0,12,5.857933
0,12,5.521461
0,12,5.298317
0,12,5.857933
0,12,5.703783
0,12,6.214608
0,12,5.703783
0,12,5.857933
0,12,5.857933
0,12,6.476973
0,12,5.703783
0,12,5.521461
0,12,5.857933
0,12,5.857933
0,12,6.214608
0,12,5.298317
0,12,5.521461
0,12,5.298317
0,12,6.214608
0,12,5.991465
0,12,5.857933
0,12,5.703783
0,12,5.857933
0,12,6.214608
0,12,5.991465
0,12,6.214608
0,12,5.521461
0,12,5.521461
0,12,5.521461
0,12,5.010635
0,12,5.521461
0,12,5.521461
0,12,5.298317
0,12,5.010635
0,12,5.703783
0,12,5.521461
0,12,5.857933
0,12,5.010635
0,12,5.857933
0,12,6.214608
0,12,5.521461
0,12,5.991465
0,12,5.521461
0,12,5.991465
0,12,5.857933
0,12,5.521461
0,12,5.521461
0,12,5.703783
0,12,5.857933
0,12,5.521461
0,12,5.703783
0,12,6.214608
0,12,5.521461
0,12,6.214608
0,12,5.703783
0,12,6.214608
0,12,5.010635
0,12,6.214608
0,12,5.703783
0,12,5.991465
0,12,5.298317
0,12,5.857933
0,12,5.991465
0,12,5.857933
0,12,5.703783
0,12,5.521461
0,12,6.214608
0,12,5.857933
0,12,5.521461
0,12,5.703783
0,12,5.521461
0,12,5.991465
0,12,6.214608
0,12,5.703783
0,12,5.991465
0,12,5.051457
0,12,5.703783
0,12,6.214608
0,12,5.857933
0,12,5.703783
